id_sexo;sexo;id_grupo_etario;grupo_etario;anio;tasa_vih
1;Varones;8;55 - 64;2017;11
1;Varones;8;55 - 64;2018;12,4
1;Varones;8;55 - 64;2019;13,2
1;Varones;8;55 - 64;2020;7,8
1;Varones;8;55 - 64;2021;13,8
1;Varones;8;55 - 64;2022;15,4
1;Varones;8;55 - 64;2023;16,4
1;Varones;9;65 o m s;2014;3,1
1;Varones;9;65 o m s;2015;2,7
1;Varones;9;65 o m s;2016;3,1
1;Varones;9;65 o m s;2017;2,6
1;Varones;9;65 o m s;2018;2,5
1;Varones;9;65 o m s;2019;2,7
1;Varones;9;65 o m s;2020;2
1;Varones;9;65 o m s;2021;3,1
1;Varones;9;65 o m s;2022;3
1;Varones;9;65 o m s;2023;4,5
